Title,Author,Average Rating,Top 3 Genres,First Published
The Five People You Meet in Heaven,Mitch Albom,really liked it 4.00 avg rating,"Fiction, Contemporary, Inspirational",2003
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,really liked it 4.00 avg rating,"Classics, Fantasy, Fiction",1900
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15 avg rating,"Nonfiction, Memoir, Biography",1996
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.49 avg rating,"Fantasy, Fiction, Adventure",1954
The Girl Who Played With Fire (Millennium #2),Stieg Larsson,4.26 avg rating,"Fiction, Mystery, Thriller",2006
Bridge to Terabithia,Katherine Paterson,4.06 avg rating,"Fiction, Young Adult, Classics",1977
Love You Forever,Robert Munsch,4.38 avg rating,"Picture Books, Childrens, Fiction",1986
The Road,Cormac McCarthy,3.99 avg rating,"Fiction, Science Fiction, Dystopia",2006
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08 avg rating,"Poetry, Fiction, Literature",1320
A Prayer for Owen Meany,John Irving,4.24 avg rating,"Fiction, Classics, Contemporary",1989
A Midsummer Night’s Dream,William Shakespeare,3.94 avg rating,"Plays, Fiction, Fantasy",1595
The Name of the Rose,Umberto Eco,4.14 avg rating,"Fiction, Historical Fiction, Mystery",1980
Persuasion,Jane Austen,4.15 avg rating,"Fiction, Classics, Historical Fiction",1817
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03 avg rating,"Fantasy, Young Adult, Fiction",1995
The Prophet,Kahlil Gibran,4.23 avg rating,"Poetry, Classics, Philosophy",1923
The Three Musketeers,Alexandre Dumas,4.10 avg rating,Unknown,Unknown
Water for Elephants,Sara Gruen,4.11 avg rating,"Fiction, Historical Fiction, Romance",2006
The Boy in the Striped Pajamas,John Boyne,4.16 avg rating,"Historical Fiction, Fiction, Young Adult",2006
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34 avg rating,"Historical Fiction, Fiction, Historical",1989
How the Grinch Stole Christmas!,Dr. Seuss,4.38 avg rating,"Childrens, Picture Books, Christmas",1957
Jonathan Livingston Seagull,Richard Bach,3.86 avg rating,"Fiction, Classics, Philosophy",1970
Oliver Twist,Charles Dickens,3.88 avg rating,"Fiction, Classics, Historical Fiction",1838
The Secret Life of Bees,Sue Monk Kidd,4.10 avg rating,"Fiction, Historical Fiction, Classics",2001
The Master and Margarita,Mikhail Bulgakov,4.29 avg rating,"Fiction, Russia, Fantasy",1967
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.10 avg rating,"Young Adult, Dystopia, Fiction",2010
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16 avg rating,"Romance, Fiction, Chick Lit",1996
The Complete Sherlock Holmes,Arthur Conan Doyle,4.50 avg rating,"Classics, Mystery, Fiction",1915
In Cold Blood,Truman Capote,4.09 avg rating,"Nonfiction, True Crime, Crime",1966
Gone Girl,Gillian Flynn,4.14 avg rating,"Fiction, Mystery, Thriller",2012
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.30 avg rating,"Fiction, Historical Fiction, Mystery",2001
Heart of Darkness,Joseph Conrad,3.43 avg rating,"Fiction, Classics, Literature",1899
The Crucible,Arthur Miller,3.61 avg rating,"Classics, Plays, Fiction",1953
Love in the Time of Cholera,Gabriel García Márquez,3.94 avg rating,"Fiction, Historical Fiction, Magical Realism",1985
The Red Tent,Anita Diamant,4.20 avg rating,"Historical Fiction, Fiction, Historical",1997
The Girl on the Train,Paula Hawkins,3.96 avg rating,"Fiction, Mystery, Thriller",2015
The Glass Castle,Jeannette Walls,4.32 avg rating,"Nonfiction, Memoir, Biography",2005
The Gift of the Magi,O. Henry,4.11 avg rating,"Classics, Short Stories, Fiction",1905
The Art of War,Sun Tzu,3.95 avg rating,"Nonfiction, Philosophy, History",Unknown
"Eat, Pray, Love",Elizabeth Gilbert,3.64 avg rating,"Nonfiction, Memoir, Travel",2006
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02 avg rating,"Horror, Fantasy, Fiction",1976
The Unbearable Lightness of Being,Milan Kundera,4.11 avg rating,"Fiction, Philosophy, Literature",1984
On the Road,Jack Kerouac,3.61 avg rating,"Fiction, Travel, Literature",1957
The Canterbury Tales,Geoffrey Chaucer,3.52 avg rating,"Fiction, Poetry, Classics",1400
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.07 avg rating,"Horror, Fiction, Thriller",1981
Dark Places,Gillian Flynn,3.95 avg rating,"Mystery, Fiction, Thriller",2009
Aesop’s Fables,Aesop,4.05 avg rating,"Fiction, Short Stories, Classics",Unknown
Mystic River,Dennis Lehane,4.17 avg rating,"Mystery, Fiction, Thriller",2001
Walden,Henry David Thoreau,3.78 avg rating,"Philosophy, Nonfiction, Nature",1854
The Screwtape Letters,C.S. Lewis,4.27 avg rating,"Fiction, Christian, Classics",1942
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83 avg rating,"Horror, Gothic, Mystery",1886
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61 avg rating,"Fantasy, Fiction, Classics",1954
Fight Club,Chuck Palahniuk,4.18 avg rating,"Fiction, Classics, Thriller",1996
"The Godfather (The Godfather, #1)",Mario Puzo,4.39 avg rating,"Fiction, Classics, Crime",1969
Never Lie,Freida McFadden,4.09 avg rating,"Thriller, Mystery, Audiobook",2022
Robinson Crusoe,Daniel Defoe,3.68 avg rating,"Fiction, Classics, Adventure",1719
Lock Every Door,Riley Sager,3.89 avg rating,"Thriller, Mystery, Mystery Thriller",2019
None of This Is True,Lisa Jewell,4.10 avg rating,"Thriller, Mystery, Audiobook",2023
Gulliver’s Travels,Jonathan Swift,3.59 avg rating,"Classics, Fiction, Fantasy",1726
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.73 avg rating,"Mystery, Thriller, Fiction",2016
The Paris Apartment,Lucy Foley,3.65 avg rating,"Mystery, Thriller, Fiction",2022
The Woman in the Window,A.J. Finn,3.95 avg rating,"Thriller, Mystery, Fiction",2018
Big Little Lies,Liane Moriarty,4.31 avg rating,"Fiction, Mystery, Contemporary",2014
Emma,Jane Austen,4.05 avg rating,"Fiction, Historical Fiction, Literature",1815
The Origin of Species,Charles Darwin,4.01 avg rating,"Science, Nonfiction, Classics",1859
Invisible Man,Ralph Ellison,3.92 avg rating,"Fiction, Classics, Literature",1952
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.21 avg rating,"Thriller, Mystery, Fiction",2023
Sophie’s World,Jostein Gaarder,3.97 avg rating,"Fiction, Classics, Young Adult",1991
The Trial,Franz Kafka,3.95 avg rating,"Fiction, Philosophy, Literature",1925
The Prince,Niccolò Machiavelli,3.84 avg rating,"Philosophy, Nonfiction, Politics",1513
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.96 avg rating,"Thriller, Mystery, Fiction",2019
The Complete Grimm's Fairy Tales,Jacob Grimm,4.24 avg rating,"Classics, Fantasy, Fiction",1812
Before I Go to Sleep,S.J. Watson,3.90 avg rating,"Thriller, Fiction, Mystery",2011
Candide,Voltaire,3.76 avg rating,"Fiction, Philosophy, France",1759
Watchmen,Alan             Moore,4.38 avg rating,"Graphic Novels, Fiction, Science Fiction",1987
The Time Machine,H.G. Wells,3.90 avg rating,"Science Fiction, Fiction, Classics",1895
Pretty Girls,Karin Slaughter,4.02 avg rating,"Thriller, Mystery, Fiction",2015
"You (You, #1)",Caroline Kepnes,3.96 avg rating,"Thriller, Fiction, Mystery",2014
Shutter Island,Dennis Lehane,4.13 avg rating,"Mystery, Fiction, Thriller",2003
Roots: The Saga of an American Family,Alex Haley,4.44 avg rating,"Historical Fiction, Fiction, Classics",1976
No Exit,Taylor  Adams,3.99 avg rating,"Thriller, Mystery Thriller, Mystery",2017
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.97 avg rating,"Fiction, Classics, Historical Fiction",1987
The Couple Next Door,Shari Lapena,3.80 avg rating,"Thriller, Mystery, Fiction",2016
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.20 avg rating,"Mystery, Thriller, Fiction",1997
The Only One Left,Riley Sager,4.14 avg rating,"Thriller, Mystery, Mystery Thriller",2023
The Last Thing He Told Me,Laura Dave,3.83 avg rating,"Mystery, Fiction, Thriller",2021
Go Ask Alice,Beatrice Sparks,3.74 avg rating,"Young Adult, Fiction, Classics",1971
Atonement,Ian McEwan,3.95 avg rating,"Fiction, Historical Fiction, Classics",2001
Final Girls,Riley Sager,3.82 avg rating,"Thriller, Horror, Mystery",2017
Then She Was Gone,Lisa Jewell,4.05 avg rating,"Thriller, Mystery, Fiction",2017
The Things They Carried,Tim O'Brien,4.14 avg rating,"Fiction, Historical Fiction, Classics",1990
Behind Closed Doors,B.A. Paris,3.97 avg rating,"Thriller, Fiction, Mystery",2016
My Sister’s Keeper,Jodi Picoult,4.10 avg rating,"Fiction, Chick Lit, Young Adult",2004
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31 avg rating,"Fantasy, Young Adult, Mythology",2005
Home Before Dark,Riley Sager,4.06 avg rating,"Horror, Thriller, Mystery",2020
Tuck Everlasting,Natalie Babbitt,3.90 avg rating,"Fantasy, Classics, Young Adult",1975
"Divergent (Divergent, #1)",Veronica Roth,4.14 avg rating,"Young Adult, Dystopia, Fantasy",2011
