,Title,Author,Average Rating,First Published,Top 3 Genres,Cluster
238,A Flicker in the Dark,Stacy Willingham,3.99,2022.0,"Thriller, Mystery, Mystery Thriller",2
239,Stranger in a Strange Land,Robert A. Heinlein,3.92,1961.0,"Science Fiction, Fiction, Classics",2
240,The Sun Also Rises,Ernest Hemingway,3.79,1926.0,"Classics, Fiction, Literature",2
241,Mere Christianity,C.S. Lewis,4.36,1952.0,"Christian, Nonfiction, Theology",2
242,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,1934.0,"Mystery, Classics, Fiction",2
243,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,1982.0,"Fantasy, Fiction, Historical Fiction",2
244,The Complete Maus,Art Spiegelman,4.58,1980.0,"Graphic Novels, Comics, Nonfiction",2
245,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,4.22,1902.0,"Childrens, Classics, Picture Books",2
246,Number the Stars,Lois Lowry,4.19,1989.0,"Historical Fiction, Young Adult, Fiction",2
247,The Phantom Tollbooth,Norton Juster,4.2,1961.0,"Fantasy, Fiction, Classics",2
249,American Gods,Neil Gaiman,4.11,2001.0,"Fantasy, Fiction, Mythology",2
250,James and the Giant Peach,Roald Dahl,4.03,1961.0,"Childrens, Fantasy, Fiction",2
251,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.26,1970.0,"History, Nonfiction, Native American",0
252,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,1996.0,"Science Fiction, Fiction, Humor",2
253,A Little Princess,Frances Hodgson Burnett,4.23,1905.0,"Fiction, Childrens, Classics",2
254,Schindler’s List,Thomas Keneally,4.34,1982.0,"History, Nonfiction, Holocaust",0
255,The Autobiography of Malcolm X,Malcolm X,4.37,1965.0,"Nonfiction, Biography, History",0
256,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.65,1988.0,"Comics, Humor, Graphic Novels",2
257,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,1995.0,"Nonfiction, Memoir, Biography",0
258,Their Eyes Were Watching God,Zora Neale Hurston,3.99,1937.0,"Classics, Fiction, Historical Fiction",2
259,Middlesex,Jeffrey Eugenides,4.04,2002.0,"Fiction, Historical Fiction, Contemporary",2
260,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66,2006.0,"Nonfiction, Memoir, Biography",0
261,Into the Wild,Jon Krakauer,4.02,1996.0,"Nonfiction, Biography, Adventure",0
262,Leaves of Grass,Walt Whitman,4.12,1855.0,"Poetry, Classics, Fiction",2
263,"Holes (Holes, #1)",Louis Sachar,4.01,1998.0,"Young Adult, Fiction, Middle Grade",2
264,The Wind in the Willows,Kenneth Grahame,4.02,1908.0,"Fiction, Childrens, Fantasy",2
266,Speak,Laurie Halse Anderson,4.05,1999.0,"Young Adult, Fiction, Contemporary",2
267,Peter Pan,J.M. Barrie,4.04,1911.0,"Fantasy, Fiction, Childrens",2
268,A People’s History of the United States: 1492 - Present,Howard Zinn,4.08,1980.0,"History, Nonfiction, Politics",0
269,Looking for Alaska,John Green,3.96,2005.0,"Young Adult, Fiction, Contemporary",2
270,The World According to Garp,John Irving,4.11,1978.0,"Fiction, Classics, Literature",2
271,The Story of My Life,Helen Keller,4.08,1902.0,"Nonfiction, Biography, Memoir",0
